"Zone ID";Zone;Impressions;Profit;CPM
10187995;Popptunder;5052;3.427;0.6784
10188092;"Loud tag";2302;0.222;0.0966
10188032;"Crazy tag";1966;0.087;0.0444
10194917;"Interesting tag";1363;0.924;0.6776
10194910;"Efficient tag";1013;0;0
10194918;"Interesting tag";986;0;0
10194906;"Lovely tag";773;0.045;0.0576
10194920;"Interesting tag";747;0.12;0.1609
10194919;"Interesting tag";316;0.079;0.2498
10188024;"Wise tag";108;0.086;0.7955
10194921;"Interesting tag";10;0.04;3.9939
10187966;"Cheerful tag";5;0;0
10187967;"Cheerful tag";1;0;0
10187965;"Cheerful tag";1;0;0.0713
10187968;"Cheerful tag";1;0;0
10195049;"Efficient link";0;0;0
;;14644;5.03;0.3435
